# created=2026-08-19T15:34:29.6544910+08:00
# signal_mode=未知信号（默认，仅测量）
# board_termination=JP1 SHORT：50Ω端接
# generator_display_mode=发生器50Ω负载显示
# source_impedance_ohm=50.000
# generator_display_mV=453.000
# actual_board_input_mV=452.988675
# source_open_reference_mV=906.000000
# measured_board_input_mV=451.502077
# measured_source_open_equiv_mV=903.026729
# front_end_gain=2.000000
# amplitude_calibration=system_standard_editable_inverse_linear
# calibration_slope=1.004148380
# calibration_intercept_mV=-1.160606000
# calibration_reference=system_standard_100kHz_linearity; fit measured=slope*actual+intercept; R2=0.99998297649
# firmware_adc_spectrum_fs_mV=2500
# firmware_histogram_channels=65536
# pc_active_channels=65536
# metric_smoothing_bins=5
# metric_quality_note=稳健半高宽(仅指标平滑5道，原谱未改)
# firmware_frontend_gain_milli=2000
# firmware_mapping_compatible=True
# firmware_queue_depth=2
# firmware_usb_recoveries=10
# firmware_range_overflows=0
# firmware_uptime_ms=337499
# adc_offset_mV=0.000
# roi=0-65535
# display_scale=linear
# centroid_channel=23708.562180
# adc_peak_mV=904.428947
# estimated_background_counts_per_bin=0.000000
# net_peak_area=6000669.000000
# fwhm_channel=46.047057
# resolution_percent=0.194217
# input_amplitude_resolution_valid=True
# statistical_precision_percent=0.000034
# measured_rate_Hz=99854.679803
# rate_formula=delta_samples/delta_mcu_uptime
# pass_formula=delta_samples/(reference_Hz*delta_mcu_uptime_seconds)*100; same synchronized counter window; unclamped
# processing_efficiency_formula=delta_samples/delta_busy*100
# safety=CNV is hardware-generated; software does not switch JP1 or drive protected grounded pins
序号	时间	模式	端接	发生器显示mV	板端实际mV	测得输入mV	ADC峰mV	FWHM_ch	分辨率%	幅度误差%	参考Hz	实测Hz	通过率%	处理效率%	峰区计数	同步窗s	样本增量	Busy增量	触发接受率%	通过率质量
11	2026-08-19T15:18:45.7167854+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	305.000000	304.992375	306.381880	612.984524	41.412760	0.257718	0.455587	100000.000000	99864.198795	99.864199	100.000082	5191394.000	48.814000	4874771	4874767	99.864117	same_window_mcu_uptime
12	2026-08-19T15:22:42.2271257+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	330.000000	329.991750	330.256216	660.931276	40.133359	0.231638	0.080143	100000.000000	99868.035856	99.868036	99.999962	2979281.000	26.439000	2640411	2640412	99.868074	same_window_mcu_uptime
13	2026-08-19T15:23:30.1386192+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	354.000000	353.991150	354.375797	709.370554	39.885799	0.214489	0.108660	100000.000000	99884.147465	99.884147	100.000000	3471398.000	32.550000	3251229	3251229	99.884147	same_window_mcu_uptime
14	2026-08-19T15:25:19.9908655+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	378.000000	377.990550	378.484659	757.788303	41.812464	0.210483	0.130720	100000.000000	99874.286676	99.874287	99.999974	7871065.000	77.279000	7718185	7718187	99.874313	same_window_mcu_uptime
15	2026-08-19T15:27:18.8788260+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	404.000000	403.989900	402.445970	805.909725	44.886817	0.212467	0.382171	100000.000000	99866.089152	99.866089	100.000000	10686045.000	103.778000	10363903	10363903	99.866089	same_window_mcu_uptime
16	2026-08-19T15:29:47.3065843+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	428.000000	427.989300	427.053899	855.329750	43.704545	0.194919	0.218557	100000.000000	99854.566883	99.854567	100.000000	5118785.000	50.910000	5083596	5083596	99.854567	same_window_mcu_uptime
17	2026-08-19T15:34:07.5708061+08:00	未知信号（默认，仅测量）	JP1 SHORT：50Ω端接	453.000000	452.988675	451.580279	904.585999	43.363835	0.182868	0.310912	100000.000000	99886.751728	99.886752	100.000000	3821669.000	36.601000	3655955	3655955	99.886752	same_window_mcu_uptime
# linear_slope=0.998313817
# linear_intercept_mV=0.301154732
# R_squared=0.999964841692
# one_minus_R_squared=3.515831E-005
# max_relative_nonlinearity_percent=0.525831
# max_span_nonlinearity_percent=0.419106
# max_residual_mV=1.602623
